Node_ID,Lon,Lat,Tract_Node
77,-122.4035141,47.6748556,0
78,-122.3242834,47.7013308,0
79,-122.3231291,47.7013241,0
80,-122.325803,47.701354,0
81,-122.3266609,47.6811594,0
82,-122.3274931,47.6816598,0
83,-122.3261288,47.6807272,0
84,-122.2926192,47.5991777,0
85,-122.2926147,47.5979855,0
86,-122.3258871,47.6817156,0
87,-122.3267113,47.6822303,0
88,-122.325157,47.6811738,0
89,-122.3245628,47.6557889,0
90,-122.3235103,47.6558588,0
91,-122.2938039,47.5991901,0
92,-122.3256856,47.6556616,0
93,-122.3245658,47.6550965,0
94,-122.323195,47.655503,0
95,-122.3256969,47.6548677,0
96,-122.3245588,47.655536,0
97,-122.3255682,47.6555348,0
98,-122.2925642,47.600868,0
99,-122.3239917,47.6649734,0
100,-122.322864,47.6649676,0
101,-122.3313384,47.607744,0
102,-122.3310739,47.60768,0
103,-122.3250605,47.6649789,0
104,-122.324412,47.6758957,0
105,-122.323394,47.6758845,0
106,-122.3009303,47.6598254,0
107,-122.3302357,47.6081976,0
108,-122.3254482,47.6759071,0
109,-122.3261992,47.6778665,0
110,-122.3253988,47.6783222,0
111,-122.3272453,47.6775767,0
112,-122.3268327,47.6785501,0
113,-122.3261643,47.6789845,0
114,-122.3275139,47.6783666,0
115,-122.331992,47.6084406,0
116,-122.3242717,47.6861595,0
117,-122.3248651,47.6865882,0
118,-122.3232719,47.6853233,0
119,-122.3013703,47.7084569,0
120,-122.3016589,47.7067063,0
121,-122.3006917,47.7101011,0
122,-122.2995542,47.7084243,0
123,-122.2993695,47.70842,0
124,-122.2979392,47.7084128,0
125,-122.2961937,47.7084038,0
126,-122.2948434,47.7083986,0
127,-122.2921172,47.70838,0
128,-122.290768,47.7083694,0
129,-122.2893863,47.7083567,0
130,-122.290702,47.7101836,0
131,-122.2908629,47.7047806,0
132,-122.2881088,47.7083458,0
133,-122.2867517,47.7083257,0
134,-122.2854099,47.7082972,0
135,-122.2826627,47.7083438,0
136,-122.2814782,47.708613,0
137,-122.2801772,47.708902,0
138,-122.2792684,47.7070257,0
139,-122.2810312,47.7106967,0
140,-122.334489,47.5487316,0
141,-122.3342318,47.5482914,0
142,-122.3351779,47.5500834,0
143,-122.3341645,47.5481337,0
144,-122.3337036,47.5473292,0
145,-122.3346266,47.5428237,0
146,-122.336067,47.5394595,0
