O_ID,D_ID,OD_Number
10000003,10000113,3
10000003,10000114,4
10000003,10000116,1
10000003,10000118,1
10000003,10000119,1
10000003,10000120,1
10000003,10000122,1
10000003,10000123,1
10000003,10000126,4
10000003,10000127,3
10000003,10000129,3
10000003,10000130,2
10000003,10000131,3
10000003,10000133,2
10000003,10000136,1
10000003,10000137,5
10000003,10000139,14
10000003,10000140,19
10000003,10000141,8
10000003,10000143,29
10000003,10000144,130
10000003,10000145,9
10000003,10000146,3
10000003,10000147,9
10000003,10000148,4
10000003,10000150,4
10000003,10000151,92
10000003,10000152,4
10000003,10000153,1
10000003,10000154,92
10000003,10000155,8
10000003,10000156,1
10000003,10000158,21
10000003,10000159,1
10000003,10000160,1
10000003,10000161,21
10000003,10000162,4
10000003,10000163,3
10000003,10000164,1
10000003,10000165,4
10000003,10000166,1
10000003,10000167,2
10000003,10000169,3
10000003,10000170,1
10000003,10000171,1
10000003,10000172,1
10000003,10000174,1
10000003,10000175,1
10000003,10000176,4
10000003,10000178,3
10000003,10000179,8
10000003,10000180,12
10000003,10000181,2
10000003,10000182,2
10000003,10000183,2
10000003,10000185,1
10000003,10000186,3
10000003,10000187,7
10000003,10000191,2
10000004,10000003,5
10000004,10000004,41
10000004,10000005,3
10000004,10000006,2
10000004,10000007,5
10000004,10000008,5
10000004,10000011,99
10000004,10000012,2
10000004,10000013,3
10000004,10000014,2
10000004,10000015,1
10000004,10000016,5
10000004,10000017,1
10000004,10000018,2
10000004,10000020,12
10000004,10000022,4
10000004,10000024,5
10000004,10000025,4
10000004,10000026,2
10000004,10000027,1
10000004,10000028,4
10000004,10000030,4
10000004,10000031,3
10000004,10000032,4
10000004,10000033,20
10000004,10000034,1
10000004,10000035,1
10000004,10000042,1
10000004,10000043,3
10000004,10000044,5
10000004,10000046,2
10000004,10000048,25
10000004,10000050,13
10000004,10000051,6
10000004,10000052,7
10000004,10000054,1
10000004,10000056,2
10000004,10000058,2
10000004,10000059,1
10000004,10000060,5
10000004,10000064,1
10000004,10000066,5
10000004,10000067,1
10000004,10000068,5
10000004,10000069,3
10000004,10000070,5
10000004,10000073,7
10000004,10000074,2
10000004,10000075,2
10000004,10000076,8
10000004,10000077,14
10000004,10000078,7
10000004,10000079,94
10000004,10000080,13
10000004,10000081,10
10000004,10000082,2
10000004,10000083,8
10000004,10000084,4
10000004,10000086,1
10000004,10000087,1
10000004,10000091,8
10000004,10000092,1
10000004,10000093,6
10000004,10000094,1
10000004,10000095,8
10000004,10000096,17
10000004,10000097,5
10000004,10000100,2
10000004,10000102,2
10000004,10000105,2
10000004,10000106,3
10000004,10000107,4
10000004,10000108,4
10000004,10000109,3
10000004,10000110,5
10000004,10000115,1
10000004,10000117,2
10000004,10000118,1
10000004,10000119,4
10000004,10000121,3
10000004,10000122,1
10000004,10000123,3
10000004,10000124,1
10000004,10000125,7
10000004,10000126,11
10000004,10000127,3
10000004,10000129,2
10000004,10000130,9
10000004,10000131,6
10000004,10000134,8
10000004,10000135,4
10000004,10000136,10
10000004,10000137,4
10000004,10000139,15
10000004,10000140,34
10000004,10000141,4
10000004,10000142,2
10000004,10000143,36
10000004,10000144,151
10000004,10000145,8
10000004,10000146,6
10000004,10000147,3
10000004,10000150,3
10000004,10000151,87
10000004,10000152,8
10000004,10000154,54
10000004,10000155,11
10000004,10000156,1
10000004,10000157,1
10000004,10000158,16
10000004,10000161,32
